anio,lluvia,region
2010,13.253698630136988,Central
2011,9.266027397260274,Central
2012,7.5133879781420765,Central
2013,7.101643835616438,Central
2014,8.064383561643835,Central
2015,6.50986301369863,Central
2016,8.066393442622951,Central
2017,8.87068493150685,Central
2018,6.3183561643835615,Central
2019,6.7065753424657535,Central
2020,9.912568306010929,Central
2021,8.920821917808219,Central
2022,10.100547945205479,Central
2023,8.036164383561644,Central
2024,10.173224043715848,Central
2025,8.2,Central
2010,9.012054794520548,Chorotega
2011,6.813972602739725,Chorotega
2012,3.902732240437159,Chorotega
2013,4.8432876712328765,Chorotega
2014,4.272876712328767,Chorotega
2015,2.6153424657534248,Chorotega
2016,4.672950819672131,Chorotega
2017,7.391780821917808,Chorotega
2018,5.55013698630137,Chorotega
2019,5.1279452054794525,Chorotega
2020,8.221584699453551,Chorotega
2021,6.428493150684932,Chorotega
2022,9.994794520547945,Chorotega
2023,6.988493150684932,Chorotega
2024,10.254098360655737,Chorotega
2025,0.9,Chorotega
2010,19.41041095890411,Pacifico_Central
2011,16.975616438356166,Pacifico_Central
2012,14.221857923497268,Pacifico_Central
2013,15.112328767123287,Pacifico_Central
2014,14.499726027397259,Pacifico_Central
2015,13.11013698630137,Pacifico_Central
2016,15.772404371584699,Pacifico_Central
2017,12.522191780821919,Pacifico_Central
2018,9.933150684931507,Pacifico_Central
2019,12.14109589041096,Pacifico_Central
2020,15.35601092896175,Pacifico_Central
2021,12.836986301369864,Pacifico_Central
2022,11.018356164383562,Pacifico_Central
2023,8.071780821917807,Pacifico_Central
2024,11.525683060109289,Pacifico_Central
2025,7.5,Pacifico_Central
2010,18.567123287671233,Brunca
2011,15.593424657534248,Brunca
2012,13.836612021857922,Brunca
2013,13.452054794520548,Brunca
2014,13.655890410958904,Brunca
2015,12.113150684931508,Brunca
2016,14.278688524590164,Brunca
2017,13.019452054794522,Brunca
2018,12.676712328767124,Brunca
2019,11.774246575342467,Brunca
2020,14.936612021857924,Brunca
2021,13.232054794520547,Brunca
2022,13.724657534246575,Brunca
2023,11.156164383561643,Brunca
2024,14.728142076502733,Brunca
2025,22.7,Brunca
2010,16.18986301369863,Huetar_Caribe
2011,10.607397260273972,Huetar_Caribe
2012,10.442622950819672,Huetar_Caribe
2013,9.22904109589041,Huetar_Caribe
2014,12.310958904109588,Huetar_Caribe
2015,12.246849315068495,Huetar_Caribe
2016,10.980601092896174,Huetar_Caribe
2017,12.075068493150685,Huetar_Caribe
2018,13.117260273972603,Huetar_Caribe
2019,9.98931506849315,Huetar_Caribe
2020,9.92896174863388,Huetar_Caribe
2021,12.82931506849315,Huetar_Caribe
2022,11.263287671232877,Huetar_Caribe
2023,9.211506849315068,Huetar_Caribe
2024,10.254098360655737,Huetar_Caribe
2025,15.0,Huetar_Caribe
2010,9.465205479452056,Huetar_Norte
2011,6.8780821917808215,Huetar_Norte
2012,4.73087431693989,Huetar_Norte
2013,5.497534246575342,Huetar_Norte
2014,4.6786301369863015,Huetar_Norte
2015,3.5734246575342463,Huetar_Norte
2016,5.247814207650273,Huetar_Norte
2017,11.693698630136986,Huetar_Norte
2018,10.112328767123287,Huetar_Norte
2019,10.398082191780823,Huetar_Norte
2020,13.47704918032787,Huetar_Norte
2021,11.108219178082193,Huetar_Norte
2022,12.824657534246576,Huetar_Norte
2023,8.693972602739727,Huetar_Norte
2024,12.128142076502732,Huetar_Norte
2025,25.6,Huetar_Norte
